domain,hsts,csp
pghcitypaper.com,undefined,frame-ancestors 'self'
www.prevention.com,max-age=31557600; includeSubDomains,upgrade-insecure-requests; default-src https: data: 'unsafe-inline' 'unsafe-eval' https:; script-src data: 'unsafe-inline' 'unsafe-eval' https: blob:; style-src data: 'unsafe-inline' https:; img-src data: https: blob:; font-src data: https:; connect-src https: wss: blob:; media-src data: https: blob:; object-src https:; child-src https: data: blob:; form-action https:;
cmoney.tw,NA,NA
beistravel.com,max-age=7889238,block-all-mixed-content; frame-ancestors 'none'; upgrade-insecure-requests;
accessbanking.com.ar,NA,NA
mon.gov.ua,max-age=31557600,undefined
sexvideos.fyi,undefined,undefined
appliedmed.com,undefined,undefined
contentmedia.eu,NA,NA
nesiatimes.com,max-age=31536000; includeSubDomains; preload,undefined
glaro.ch,undefined,undefined
cookomix.com,max-age=31536000; includeSubDomains,undefined
hakodate.or.jp,undefined,undefined
freehentaistream.com,max-age=31536000; includeSubDomains; preload,undefined
de.linkedin.com,max-age=31536000,default-src 'none'; connect-src 'self' *.licdn.com *.linkedin.com cdn.linkedin.oribi.io dpm.demdex.net/id lnkd.demdex.net blob: accounts.google.com/gsi/ linkedin.sc.omtrdc.net/b/ss/ v.clarity.ms/collect *.microsoft.com *.adnxs.com *.tealiumiq.com login.microsoftonline.com; script-src 'report-sample' 'sha256-th47JTnh6tX15SUn/I+GGmsOSXpa7dh5Skner77gxlY=' 'sha256-SSoodjUD3LGm2FfFCVHGqEb8D4UM3OOigidT2UKDcYg=' 'sha256-cKTgdnmO6+hXd85a9wKg1effVfVzenUAtUCyOKY9bQE=' 'sha256-DwtT8+ZZKpxH9pqZNAmJ3GdbLAh5SsYaXR3omTXPCns=' 'sha256-sV9jZa797T0QWBzcU/CNd4tpBhTnh+TFdLnfjlitl28=' 'sha256-aa/Q8CRBDSqTQbCIyioPhZaz+G+dbPyu7BzsjInEmiU=' 'sha256-THuVhwbXPeTR0HszASqMOnIyxqEgvGyBwSPBKBF/iMc=' 'sha256-zTIusdVJJeXz9+iox2a+pdDglzbpRpFVRzEwvW4AONk=' 'sha256-iC8MPqNLw0FDnsBf4DlSkFLNTwhkI85aouiAEB819ic=' 'sha256-2EqrEvcPzl8c6/TSGVvaVMEe7lg700MAz/te4/3kTYY=' 'sha256-y5uW69VItKj51mcc7UD9qfptDVUqicZL+bItEpvVNDw=' 'sha256-DatsFGoJ8gFkzzxo47Ou76WZ+3QBPOQHtBu9p9b3DhA=' 'sha256-k95cyM8gFgPziZe5VQ2IvJvBUVyd5zFt2CokIUwqdHE=' 'sha256-PyCXNcEkzRWqbiNr087fizmiBBrq9O6GGD8eV3P09Ik=' 'sha256-RFqsjmAF1N5LnfpaHFvPqFlVkeIS/DtTAFor+JjJJVc=' 'sha256-2SQ55Erm3CPCb+k03EpNxU9bdV3XL9TnVTriDs7INZ4=' 'sha256-S/KSPe186K/1B0JEjbIXcCdpB97krdzX05S+dHnQjUs=' 'sha256-9pXOIwF4N0gPltLd3AI69lkCjSC2H/Eb3sc5zdmUyYU=' 'sha256-jou6v/Nleyzoc+LXktAv1Fp8M807dVVxy7E/yzVljHc=' 'sha256-6E4e/3dSvj/8JZT2S2yR91mspqM6MyOpKl5lrhHsZa8=' 'sha256-3woF8BZ54TeXM+czaH3aXoaJsVpiamuAKFsXDykAR/Q=' 'sha256-vIfNcKb8ixJg1cfJIoNNYjWcm0lezj1/XpUNFiZyVsU=' 'sha256-cLsHUHFgT/VGX04cZrJ9xgm4HbzTR7ptutkxK+7BlMk=' 'sha256-BwU8jMnQYUhjOpsDVABpfddV/DlP1ZYrFcTumYw7x54=' 'sha256-wz6ika9i3WU3bpUPdhYDZeO/NrDQniDyiscN0LWnyaY=' static.licdn.com static-exp1.licdn.com static-exp2.licdn.com static-exp3.licdn.com platform.linkedin.com platform-akam.linkedin.com platform-ecst.linkedin.com platform-azur.linkedin.com snap.licdn.com www.googletagmanager.com/gtag/js; img-src data: blob: * android-webview-video-poster:; font-src data: *; style-src 'self' 'unsafe-inline' static.licdn.com static-exp1.licdn.com static-exp2.licdn.com static-exp3.licdn.com; media-src 'self' *.licdn.com *.lynda.com; worker-src 'self' blob: static.licdn.com static-exp1.licdn.com static-exp2.licdn.com static-exp3.licdn.com; frame-src 'self' www.youtube.com/embed/ www.youtube-nocookie.com/embed/ lnkd.demdex.net smartlock.google.com accounts.google.com player.vimeo.com *.linkedin.com www.slideshare.net *.megaphone.fm *.omny.fm *.sounder.fm msit.powerbi.com app.powerbi.com linkedin.github.io *.licdn.com *.adnxs.com acdn.adnxs-simple.com radar.cedexis.com edge-auth.microsoft.com; frame-ancestors 'self' *.www.linkedin.com:*; manifest-src 'self'; report-uri https://www.linkedin.com/security/csp?f=gg
noveltoon.mobi,undefined,undefined
www.mytheresa.com,max-age=2628000 ; includeSubDomains ; preload,undefined
theatlanticcities.com,NA,NA
vistaauction.com,undefined,undefined
nexogy.net,NA,NA
3ssem.gold,max-age=31536000,undefined
velux.com,undefined,undefined
www.zipformplus.com,undefined,undefined
citonline.com,NA,NA
worldtimezone.com,undefined,undefined
rubiconredirect.com,max-age=31536000 ; includeSubDomains,undefined
imperialfashion.com,undefined,undefined
superpuper.ru,undefined,script-src 'self' 'unsafe-inline' 'unsafe-eval' *.jivosite.com cdnjs.cloudflare.com www.google-analytics.com ajax.googleapis.com apis.google.com www.google.com www.gstatic.com yastatic.net yandex.st *.maps.yandex.net *.yandex.ru browser-update.org vk.com; report-uri /__cspreporting__;
mississippitoday.org,max-age=31536000,undefined
customs.go.jp,NA,NA
banflix.com,undefined,undefined
newyork1.vip.townnews.com,NA,NA
immunotec.com,max-age=15552000,undefined
www.cimbclicks.com.my,max-age=31536000; includeSubDomains; preload,undefined
elliptic.co,max-age=31536000,upgrade-insecure-requests
dl.dropboxusercontent.com,max-age=31536000; includeSubDomains; preload,undefined
optimabank.kg,undefined,undefined
globaltruck.ru,undefined,undefined
hlmiq.com,undefined,undefined
